text,true_label,predicted_label,shap_top_words,shap_word_importances,lime_top_words,lime_word_importances
"dear friends and family ,
on april 15 and 16 i will be joining thousands of riders and volunteers on
the ms 150 which is a two day bike tour from houston to austin covering 182
miles dedicated to end the devastating effects of multiple sclerosis .
multiple sclerosis is a disease that is total unpredictable . symptoms may be
mild such as numbness in the limbs , or severe paralysis or loss of vision .
most people with ms are diagnosed between the ages of 20 and 40 but the
unpredictable physical and emotional effects can be lifelong
my wife , ilene was diagnosed with ms almost three years ago ; at first i was
at a loss of how i could support her . that was until i heard of the ms 150 ,
which is one of the greatest challenges of my life . it is my choice to
participate in the ms 150 , ilene does not have a choice , as she has to live
with ms every day .
this will be my third year riding in the ms 150 raising money for the
national ms society to fight multiple sclerosis . in 1998 my goal was simple .
it was to raise money and ride the 182 miles on my own . i succeeded in my
endeavor by completing the ride on my own steam and raising $ 6 , 000 . in 1999
i raised my goal to $ 10 , 000 and finished the tour . not only did i meet my
goal , but surpassed it by raising $ 15 , 000 to fight this devastating disease
with the help of my friends and family . this year my goal is even greater !
my wife and i are once again asking for your help . this year on the 2000 ms
150 bike tour , my goal is to raise $ 20 , 000 .
enron is a big supporter of the ms 150 . for the past two years we were the
largest bike team and biggest fundraiser of any corporate team nationally .
last year we raised $ 310 , 000 with 300 riders . enron will match dollar for
dollar on all contributions donated in my name . using this secure , fast and
easy web page you can make a tax - deductible donation ( if clicking on the link
below does not work you can cut and paste the link to your browser ) .
mail = jnorden % 40 enron % 2 ecom
if you would prefer to send a check it should be made out to the national ms
society and sent to the address below .
i appreciate your continued support of the ms society and the isuzu ms 150
bike tour . the funds raised on the isuzu ms 150 bike tour provides
equipment , financial assistance , self - help groups , counseling , information
and resources , as well as education for people with ms and their families .
your support truly makes a difference in the lives of people with multiple
sclerosis .
for additional information on ms http : / / www . nmss . org
for additional information the ms 150 http : / / www . msl 50 . org
thank you for your support ,
john norden
john norden
director technology
enron
1400 smith st
houston tx 77002
713 / 853 - 3240",0,0,"[""\u0120joining"", ""on"", ""\u0120apr"", ""\u0120thousands"", ""\u0120volunteers"", ""ene"", ""\u0120she"", ""\u0120il"", ""\u0120choice"", ""\u0120have""]","[0.04154839934282901, 0.03674984372417353, 0.03674984317411428, 0.03253718564352367, 0.03253718564352367, 0.03186579825176688, 0.03186579825176688, 0.03186579577029786, 0.03186579577029786, 0.03186579577029786]","[""multiple"", ""most"", ""on"", ""be"", ""the"", ""april"", ""ms"", ""thousands"", ""volunteers"", ""dear""]","[0.09848204319737729, 0.09263023723641237, 0.06642016197462688, 0.04867891063906866, 0.04734754626661112, 0.04453007564441809, 0.043071324968944544, 0.035039777760222636, 0.033038403832301666, 0.03284402091860289]"
"Employment Opportunities. The management of The Real Royal York Hotel, Canada , wishes to advertise through this medium that there are Job Vacancies in our Hotel . Due to the expansion in our services and the opening of new outlets the hotel needs both men and women to fill in different categories of job openings.Currently, Canada is expriencing a decline in Labour force and as such we seek Serious minded and honest prospective applicants (who are under represented) to apply. The Management will be responsible for Flight Ticket and also assist in securing your visa and work permit through the Immigration Bureau in Canada.get back to us through this email below also you can call us here is our number +12192325235 [jamseku@gmail.com] Thanks, Management. The Real Royal York Hotel 5355 Vail Court Mississ Hotel Manager. auga , Ontario L5M 6G9. Canada Mr. James Collings mr",1,1,"[""\u0120applicants"", ""\u0120("", ""\u0120prospective"", ""\u0120honest"", ""ri"", ""\u0120exp"", ""\u0120such"", ""\u0120we"", ""\u0120as"", ""\u0120will""]","[0.0001689222737447348, 0.00016892174424857148, 0.00011892817748456946, 0.0001189275020145065, 0.0001015714149913709, 0.00010157058757368173, 8.448228051275106e-05, 8.448114128078229e-05, 6.891059198642975e-05, 6.795484090991977e-05]","[""Hotel"", ""The"", ""women"", ""in"", ""men"", ""Canada"", ""openings"", ""Flight"", ""categories"", ""Currently""]","[3.9502168707705614e-06, 3.303577488728241e-06, 3.1095564335779675e-06, 2.9341233890307414e-06, 2.7499540359195586e-06, 1.4453854298348722e-06, 1.1840945083237377e-06, 5.736210089893353e-07, 3.6299909597092343e-07, 3.593693450209051e-07]"
"fyi , kim .
- - - - - original message - - - - -
from : frazier , perry
sent : thursday , march 07 , 2002 2 : 25 pm
to : lebeau , randy ; watson , kimberly ; abdmoulaie , mansoor
subject : re : re ivanhoe e . s . d
just a couple of additional thoughts , the cost estimate for esd mods of $ 130 , 000 will typically be , about 25 % more . the e abdmoulaie , mansoor ; frazier , perry
subject : fw : re ivanhoe e . s . d
here is an estimate for the upgrade to the ivanhoe esd system . please keep in mind that the hp at the location has not been in operation for several years and if it is ever required , we may be looking a major expense for that , too . ( $ 200 , 000 + or - )
- - - - - original message - - - - -
from : jordan , fred
sent : thursday , march 07 , 2002 7 : 24 am
to : lebeau , randy
subject : re ivanhoe e . s . d
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by fred jordan / et & s / enron on 03 / 07 / 2002 07 : 10 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
>
eddie pool
03 / 07 / 2002 07 : 13 am
to : fred jordan / et & s / enron @ enron
cc :
subject : re ivanhoe e . s . d
fred
here is what i came up with on the ivanhoe station .
>",0,0,"[""ber"", ""ly"", ""just"", ""\u0120couple"", ""\u0120additional"", ""\u0120thoughts"", ""\u0120k"", ""atson"", ""im"", ""\u01202""]","[0.04383136881598113, 0.043831368436212846, 0.028029259553648815, 0.028029259553648815, 0.027446211575068817, 0.02744620984156038, 0.023565729026064478, 0.023565729026064478, 0.023565727499120205, 0.013299742576740907]","[""sent"", ""from"", ""to"", ""subject"", ""just"", ""thoughts"", ""estimate"", ""000"", ""randy"", ""more""]","[0.01313609485989043, 0.012283493403673991, 0.012028141153185705, 0.011249466311401885, 0.009204133715516262, 0.007754924829870393, 0.007576761877334471, 0.00752775846322316, 0.006922774865396695, 0.004103451877166491]"
"3rd emnlp cfp call for participation - emnlp3 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - call for participation - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - third conference on empirical methods in natural language processing ( emnlp - 3 ) sponsored by acl sigdat tuesday , june 2 , 1998 granada , spain following the first international language resources and evaluation conference ( lrec ) - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - conference program 9 : 00-11 : 00 session 1 dynamic coreference - based summarization breck baldwin and thomas s . morton multilingual robust anaphora resolution ruslan mitkov and lamia belguith aligning clauses in parallel texts sotiris boutsis and stelios piperidis automatic insertion of accents in french text michel simard 11 : 00-11 : 30 coffee break 11 : 30 - 1 : 00 session 2 valence induction with a head - lexicalized pcfg glenn carroll and mats rooth metrics for corpus similarity and homogeneity adam kilgarriff and tony rose word - sense distinguishability and inter - coder agreement rebecca bruce and janyce wiebe 1 : 00 - 2 : 45 lunch 2 : 45 - 3 : 30 invited speaker statistical translation : where it went kevin knight , usc information sciences institute 3 : 30 - 4 : 30 session 3 category levels in hierarchical text categorization stephen d ' alessio , keitha murray , robert schiaffino , and aaron kershenbaum an empirical approach to text categorization based on term weight learning fumiyo fukumoto and yoshimi suzuki 4 : 30 - 5 : 00 coffee break 5 : 00 - 6 : 30 session 4 an empirical evaluation on statistical parsing of japanese sentences using lexical association statistics shirai kiyoaki , inui kentaro , tokunaga takenobu and tanaka hozumi japanese dependency structure analysis based on lexicalized statistics fujio masakazu and matsumoto yuji a natural criterion for maximum entropy / minimum divergence feature selection adam berger and harry printz - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - registration information registration forms are also available at http : / / www . cs . vassar . edu / ~ ide / emnlp3 . html registration fees : registration before may 13 : 8 , 500 pesetas ( $ 55 usd ) on - site registration : 11 , 000 pesetas ( $ 70 usd ) registration fees include one copy of the proceedings , coffee breaks and refreshments . methods of payment : * check in us dollars made payable to "" acl "" on a us bank ( address below ) * cash ( for on-site registrations only ) . * visa / mastercard - in us dollars . credit card payments using the form below may be faxed , sent by regular mail or emailed . note , however , that we cannot guarantee the security of credit card numbers in transit via email . payments may be sent to : email : emnlp3 @ cs . jhu . edu fax : + 1 410-516 - 6134 regular mail : emnlp3 c / o david yarowsky - sigdat department of computer science johns hopkins university 3400 n . charles street baltimore , md 21218-2694 usa - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - registration form last name : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ first name : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ affiliation : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ address : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ city : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ state / province : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ country : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ postal / zip code : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ phone : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ fax : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ e - mail : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ web : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ if paying by credit card : please debit my visa / mastercard account : amount : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ card no : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ valid from : _ _ _ / _ _ _ to _ _ _ / _ _ _ cardholder 's name ( as printed on your card ) : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ signature as on card : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ credit card charges will be processed in us dollars . * pre - registrations cannot be accepted after may 13 , 1998 . any registration after this date must be made on site . * when submitting registrations , keep in mind the possibility of postal delays . e - mail registration avoids these delays . * registration fees are not refundable . * all registrants will receive a confirmation by e-mail . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - copies of the proceedings are available for $ 25 each and may be ordered from the above addresses . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - program chairs nancy ide ( chair ) department of computer science vassar college 124 raymond avenue poughkeepsie , new york 12604-0520 usa tel : ( + 1 914 ) 437 5988 fax : ( + 1 914 ) 437 7498 e - mail : ide @ cs . vassar . edu atro voutilainen ( co-chair ) research unit for multilingual language technology department of general linguistics p . o . box 4 ( keskuskatu 8 , 7th floor ) fin-00014 university of helsinki finland tel : ( + 358 9 ) 191 23 507 fax : ( + 358 9 ) 191 23 598 e - mail : atro . voutilainen @ ling . helsinki . fi program committee : steven abney , at&t laboratories - research , usa susan armstrong , issco , geneva , switzerland pascale fung , hong kong univ . of science and technology , hong kong gregory grefenstette , xerox research centre europe , france eduard hovy , usc / isi , usa dan jurafsky , university of colorado , boulder , usa kimmo koskenniemi , university of helsinki , finland hwee tou ng , dso national laboratories , singapore kemal oflazer , bilkent university , turkey peter schauble , eth zurich , switzerland keh yih su , national tsing - hua university , taiwan dan tufis , romanian academy of sciences , romania evelyne viegas , new mexico state university , usa further information : email : emnlp3 @ cs . vassar . edu web : http : / / www . cs . vassar . edu / ~ ide / emnlp3 . html http : / / www . cs . jhu . edu / ~ yarowsky / sigdat . html",0,0,"[""<s>"", ""rd"", ""\u0120cf"", ""\u0120sponsored"", ""uesday"", ""\u0120third"", ""\u0120processing"", ""\u0120call"", ""\u0120participation"", ""une""]","[0.03438991181632272, 0.03438991181632272, 0.03438991181632272, 0.03283365931906701, 0.03283365835773111, 0.0030609306729729724, 0.0030609306729729724, 8.025746601669241e-05, 8.025746601669241e-05, 1.776270437403582e-06]","[""3rd"", ""call"", ""for"", ""participation"", ""emnlp3"", ""emnlp"", ""university"", ""http"", ""unit"", ""hua""]","[0.3594711268278742, 0.3305197526799753, 0.32402111777825665, 0.1443196542154974, 0.07786038942336047, 0.039213020857684355, 0.030788793545905094, 0.023172017302324596, 0.020973120950446473, 0.019368913764692675]"
"attached is the latest version of the cost center assignments for the transfers out of ees . these transfers will be effective july 1 , 2001 and i need to get this to hr by friday , june 1 , 2001 to give them time to get everything effected .
i think i have incorporated all your comments , but please review one more time and make sure we have not included anyone we shouldn ' t have or excluded anyone . you ' ll note that at this point we are not forming east and west risk management cost centers . don and rogers have decided for cost management purposes to leave it consolidated at this point .
once you have signed off on your groupings , rachel massey in corporate planning will be working with each of you to forecast your q 3 and q 4 cost center expense plans .
please let me know asap of any changes and don ' t hesitate to call with questions .
thanks
wade",0,0,"[""\u0120these"", ""\u0120transfers"", ""\u0120questions"", ""\u0120."", ""\u0120with"", ""\u0120hesitate"", ""\u0120call"", ""\u0120to"", ""\u0120t"", ""\u0120the""]","[0.11672068668275852, 0.11672068631290025, 0.0695031902502358, 0.06950318973166777, 0.06950318973166777, 0.06926002373680765, 0.06926002373680765, 0.06926001768214538, 0.06926001768214538, 0.06839474043122859]","[""transfers"", ""assignments"", ""to"", ""i"", ""the"", ""will"", ""have"", ""2001"", ""get"", ""your""]","[0.19862762064667117, 0.15896037569616284, 0.13256218394506347, 0.11149399705685355, 0.09473482352770421, 0.0912023010306687, 0.08040894206235803, 0.07065876426860133, 0.025937095999825993, 0.018787100207288365]"
"
Hello,
I am transferring a contract sum. You should reply only to this email: <guantiing.contact@yahoo.com.tw>

Guan Ting",1,1,"["","", ""G"", ""uan"", ""\u0120this"", ""\u0120email"", ""ing"", ""\u0120T"", ""\u010a"", ""."", ""com""]","[1.062023481305611e-06, 9.066171439068664e-07, 9.05762943956587e-07, 8.645503536778657e-07, 8.630255858103434e-07, 6.524432036611769e-07, 6.52100508583923e-07, 5.981160534752739e-07, 3.2616986168755426e-07, 3.216630375391105e-07]","[""contact"", ""I"", ""yahoo"", ""Hello"", ""email"", ""Guan"", ""You"", ""com"", ""sum"", ""Ting""]","[0.0007622844714712648, 0.0007622171451661604, 0.0007516164102862247, 0.0007337436614511079, 0.0007244884456045034, 0.0007078401971419081, 0.0006762574431702733, 0.0006563805060051429, 0.0006528368766220865, 0.0006026735628275857]"
"Following the Decision of the Trustees of the Federal Reserve Bank to Release Long Abandoned funds to a Subsidiary Bank, My Name Is David Kent, I work in a Bank in New York,The name will be disclose to you In my subsequent mail Upon your Positive response, Please Can you urgently stand as Beneficiary To an abandoned $6.5 Million Usd Which Is about to be declared as "" UNCLAIMED ASSETS FUND "" ??? You Must Appreciate That I Am Constrained From Providing You With More Detailed Information At This Point. 

Please Respond To This Mail As Soon As Possible To Afford Me The Opportunity Divulge Further.

Thank You for Accommodating My Enquiry.
Mr. David Kent.",1,1,"[""\u0120Decision"", ""ees"", ""\u0120Trust"", ""ul"", ""\u0120Div"", ""\u0120Point"", ""\u0120work"", ""\u0120Bank"", ""\u0120in"", ""\u0120a""]","[0.00027676460404808703, 0.00015738910923783595, 0.0001573885209808648, 1.951611955605802e-05, 1.9515980050398087e-05, 1.7093743060416142e-05, 1.485493893806751e-05, 1.3184044764547161e-05, 1.3183768934164292e-05, 1.30854260462981e-05]","[""to"", ""FUND"", ""Kent"", ""Reserve"", ""Federal"", ""Release"", ""Further"", ""Can"", ""More"", ""a""]","[7.447411322987928e-06, 7.4322514695331725e-06, 6.844773638579556e-06, 6.468465766470782e-06, 6.271552300955603e-06, 5.8726089151952484e-06, 5.14931763720608e-06, 4.053109629156525e-06, 3.951086624982219e-06, 3.469417926833796e-06]"
"Prize Award / International Promotions Dept.
UK National Lottery
No.18 Stirling House,
Woolich Se 18 6up, London.

Dear Winner,

We are pleased to announce you as one of the 3 lucky winners in the UK National Lottery draw held today. All participants for the online version were selected randomly from World Wide Web sites through computer draw system and extracted from over 100,000 unions, associations, and corporate bodies that are listed online.

Your email address emerged alongside 3 others in the first winner category in this month's draw. Consequently, you have therefore been approved for a total pay out of Â£850,000.00 (Eight Hundred and Fifty Thousand Great Britain Pound Sterling) only. The following particulars are attached to your lottery payment order:

* Winning numbers: 02, 03, 21, 24, 38, 44
* Serial number: 21-8-1974
* Lotto batch number: 14/0017/1PD
* Reference number: EGS/2251256003/03

COMPLETE THE INFORMATION & FORWARD TO UK FUDICIARY AGENT, Name:   Mr. Carl Rolands, Email:  [carlrolands_ukagent@administrativos.com]

-Required Details:
*Complete Names:
*Contact Address:
*Present Country:
*Sex:
*Occupation:
*Telephone:
*Amount Won:
*Giveaway Number:
*Batch Number:
*Reference Number:

Please note that the information required will not be furnished to any third party and will be used for the purpose at which it is required. Beneficiaries are warned to keep their claims confidential until they have completed the remittance process to avoid double claiming and unwarranted abuse of this programme.

Warmest Congratulations!

Sincerely,
Mrs. Eldon cordova
Promotions Manager.",1,1,"[""We"", ""\u0120announce"", ""Dear"", ""\u0120Winner"", ""ool"", ""\u0120All"", ""\u0120participants"", ""UK"", ""\u0120Se"", ""ich""]","[0.00016973778495893758, 0.00011955615242614466, 9.263518756383478e-05, 9.263452032909674e-05, 8.533672228747724e-05, 7.21046013656151e-05, 7.210351417169851e-05, 7.091739634964981e-05, 5.928146762444693e-05, 5.9280811894816854e-05]","[""No"", ""Stirling"", ""furnished"", ""attached"", ""THE"", ""month"", ""02"", ""Winning"", ""Please"", ""Address""]","[0.0017260909012754367, 0.0007230264388273728, 0.00030849286394528657, 0.00027704610544417854, 0.00025206280500296083, 0.0002071524485483917, 0.00019497388296321874, 0.00019489637735381563, 0.00012179178472693473, 3.45657526783033e-05]"
"
Attention:  Urgent Response Needed
 
I have been informed by the IMF to anticipate your message. Your pin number has been verified and confirmed to relate to a parcel with ATM Debit CARD valued the sum of US$2,500,000.00 {Two Million Five Hundred Thousand US Dollars}. The ATM Debit CARD has been issued in your name and we have concluded the processing of all documents that will facilitate the clearance of the ATM CARD in any Bank.
 
These documents have been securely sealed and packed for security reasons which make it impossible for anyone to view it until itâ€™s been delivered to you and also your parcel is protected by a hardcover insurance policy, which makes it impossible to deduct any amount from the money before it has been remitted to you.
 
Choose delivery options below that are most convenient to you.
 
(1)FedEx Delivery Company
Duration For Delivery: 24hrs
Amount: GBP Â£365 {No C.O.D} = $571 USD
 
(2)Dhl Delivery Company
Duration For Delivery 48hrs
Amount: GBP Â£380 {No C.O.D} = $610 USD
 
(3)Ups Delivery Company
 Duration For Delivery  72hrs
Amount: GBP Â£350 {No C.O.D} =$555 USD
 
Kindly confirm receipt of the mail with the delivery option most convenient to you within 24hrs. And you shall be informed on how to make payments of the charges.
 
Failure to produce the delivery fee will mean refusal of ATM DEBIT CARD delivery by the courier service so as to enable this company secure good name they have always maintained, since the package delivery without insurance will be illegal. Insurance is the International law guiding the authentic delivery of diplomatic document.
 
We look forward to serving you better.
 
Yours faithfully,
 Mr. Jim Nolan
ATM center Manager
Phone +447700004110
International Reconciliation and Logistics Vaults
International Monetary Fund (IMF)
Copyright Â© 2011. All rights reserved.",1,1,"[""\u0120options"", ""\u0120amount"", ""\u0120any"", ""\u0120Ur"", ""\u0120impossible"", ""\u0120deduct"", ""ention"", ""\u0120sealed"", ""\u0120from"", ""500""]","[1.4954954459623083e-05, 9.51658562469709e-06, 9.515037420459927e-06, 7.540415408033314e-06, 6.125872961165788e-06, 5.979655316951158e-06, 5.478337791304732e-06, 4.029978504838778e-06, 3.4417851497715247e-06, 3.094488988707076e-06]","[""Attention"", ""Needed"", ""the"", ""Your"", ""I"", ""IMF"", ""by"", ""to"", ""so"", ""serving""]","[1.2927296919009463e-06, 1.0592693200788031e-06, 1.0473524436644132e-06, 9.148004484732352e-07, 8.761970911712738e-07, 5.55173659640227e-07, 5.076767022790887e-07, 4.324491432276113e-07, 4.0446672524251453e-07, 2.3176834335752783e-07]"
"
Hello,

Part time job offer, interested person should email us for more details.

Regards,
Richard Scott",1,1,"[""\u0120for"", ""\u0120us"", ""\u0120more"", ""\u0120details"", ""Reg"", ""</s>"", ""\u0120email"", ""\u0120Scott"", ""\u0120should"", ""Richard""]","[1.7310182253519695e-06, 1.7241350178665016e-06, 6.574814506166149e-07, 6.544093290964762e-07, 5.62518835067749e-07, 4.731118679046631e-07, 4.6566128730773926e-07, 4.6444256440736353e-07, 4.628761871572351e-07, 4.1350722312927246e-07]","[""Part"", ""details"", ""Hello"", ""Richard"", ""email"", ""Regards"", ""Scott"", ""offer"", ""interested"", ""us""]","[0.004572002998930296, 0.0043750731245510155, 0.004250980918918686, 0.004191091101215938, 0.0041436703183825, 0.003998590882854474, 0.0036212907536985668, 0.003042149465659398, 0.002437983280944582, 0.002201176814433326]"
